customer_id,first_name,last_name,email,city,state,signup_date,segment
C0001,Ava,Gallo,ava.gallo001@thistlewoodmail.example,Traverse City,MI,2023-10-04,wholesale
C0002,Ava,Dunmore,ava.dunmore002@thistlewoodmail.example,Santa Fe,NM,2022-05-18,wholesale
C0003,Chloe,Gallo,chloe.gallo003@thistlewoodmail.example,Athens,GA,2025-02-22,retail
C0004,Luke,Thatcher,luke.thatcher004@thistlewoodmail.example,Fort Collins,CO,2023-06-26,wholesale
C0005,John,Bishop,john.bishop005@thistlewoodmail.example,Charleston,SC,2025-04-17,retail
C0006,Emily,Keller,emily.keller006@thistlewoodmail.example,Madison,WI,2024-03-21,retail
C0007,Aria,Jasper,aria.jasper007@thistlewoodmail.example,Providence,RI,2024-07-11,retail
C0008,Carter,Parrish,carter.parrish008@thistlewoodmail.example,Madison,WI,2025-11-19,wholesale
C0009,Joseph,Hensley,joseph.hensley009@thistlewoodmail.example,Ithaca,NY,2022-10-12,retail
C0010,Elizabeth,Carter,elizabeth.carter010@thistlewoodmail.example,Lancaster,PA,2022-08-14,retail
C0011,Zoey,Fairweather,zoey.fairweather011@thistlewoodmail.example,Chattanooga,TN,2025-11-14,retail
C0012,Gabriel,Parrish,gabriel.parrish012@thistlewoodmail.example,Madison,WI,2023-11-18,retail
C0013,Owen,Grant,owen.grant013@thistlewoodmail.example,Missoula,MT,2023-11-27,retail
C0014,Avery,Chandler,avery.chandler014@thistlewoodmail.example,Northampton,MA,2023-10-01,retail
C0015,David,Everhart,david.everhart015@thistlewoodmail.example,Madison,WI,2023-04-02,retail
C0016,Jack,Iversen,jack.iversen016@thistlewoodmail.example,Taos,NM,2023-07-21,retail
C0017,Lucas,Dunmore,lucas.dunmore017@thistlewoodmail.example,Traverse City,MI,2022-07-24,retail
C0018,Riley,Bennett,riley.bennett018@thistlewoodmail.example,Sedona,AZ,2025-02-23,retail
C0019,Owen,Everhart,owen.everhart019@thistlewoodmail.example,Providence,RI,2025-02-14,retail
C0020,Sebastian,Yates,sebastian.yates020@thistlewoodmail.example,Asheville,NC,2022-07-24,retail
C0021,Jack,Chandler,jack.chandler021@thistlewoodmail.example,Traverse City,MI,2023-11-20,retail
C0022,Noah,Gallo,noah.gallo022@thistlewoodmail.example,Bend,OR,2024-07-16,retail
C0023,Ava,Yates,ava.yates023@thistlewoodmail.example,Sedona,AZ,2023-03-21,retail
C0024,Michael,Sawyer,michael.sawyer024@thistlewoodmail.example,Yellow Springs,OH,2022-11-10,retail
C0025,Levi,Kirkland,levi.kirkland025@thistlewoodmail.example,Asheville,NC,2022-12-08,retail
C0026,Aria,Mercer,aria.mercer026@thistlewoodmail.example,Petaluma,CA,2023-03-05,retail
C0027,Sophia,Yates,sophia.yates027@thistlewoodmail.example,Fort Collins,CO,2025-02-19,retail
C0028,Abigail,Rowan,abigail.rowan028@thistlewoodmail.example,Charleston,SC,2025-04-04,retail
C0029,Harper,Bennett,harper.bennett029@thistlewoodmail.example,Boulder,CO,2022-05-12,retail
C0030,Grace,Thatcher,grace.thatcher030@thistlewoodmail.example,Athens,GA,2022-08-24,retail
C0031,Zoey,Holloway,zoey.holloway031@thistlewoodmail.example,Duluth,MN,2024-10-14,retail
C0032,Isabella,Quintero,isabella.quintero032@thistlewoodmail.example,Ann Arbor,MI,2023-03-17,retail
C0033,Ella,Parrish,ella.parrish033@thistlewoodmail.example,Northampton,MA,2022-05-09,retail
C0034,Harper,Ostrander,harper.ostrander034@thistlewoodmail.example,Chattanooga,TN,2025-08-20,retail
