order_id,order_date,customer_name,product_name,category,quantity,unit_price,total
O00588,2024-01-01,Benjamin Norwood,Hand-Glazed Laundry Basket,Storage,1,271.08,271.08
O00588,2024-01-01,Benjamin Norwood,Hand-Glazed Stackable Bin,Storage,3,193.81,581.43
O00588,2024-01-01,Benjamin Norwood,Charcoal Entry Bench,Furniture,4,34.75,139.0
O00588,2024-01-01,Benjamin Norwood,Reclaimed Wood Glass Vase,Decor,1,23.84,23.84
O00968,2024-01-01,Zoey Holloway,Powder-Coated Body Pillow,Bedding,4,443.61,1774.44
O00968,2024-01-01,Zoey Holloway,Modern Saucepan,Kitchen,3,267.21,801.63
O02320,2024-01-01,David Hensley,Woven Cotton Hanging Planter,Outdoor,1,91.24,91.24
O02320,2024-01-01,David Hensley,Bamboo Ladder Shelf,Furniture,1,123.07,123.07
O02320,2024-01-01,David Hensley,Navy Fairy Lights,Lighting,2,349.98,699.96
O02918,2024-01-01,Levi Hensley,Matte Black Dining Chair,Furniture,5,155.23,776.15
O02918,2024-01-01,Levi Hensley,Matte Black Chandelier,Lighting,2,384.93,769.86
O03129,2024-01-01,Sebastian Yates,Sage Green Planter Pot,Outdoor,1,114.8,114.8
O03300,2024-01-01,Emma Lindqvist,Natural Linen Body Pillow,Bedding,3,252.47,757.41
O03300,2024-01-01,Emma Lindqvist,Solid Brass Curtain Liner,Bath,4,383.82,1535.28
O03407,2024-01-01,Elijah Diaz,Slate Gray Shower Curtain,Bath,5,384.59,1922.95
O03407,2024-01-01,Elijah Diaz,Slate Gray Stackable Bin,Storage,5,133.77,668.85
O03407,2024-01-01,Elijah Diaz,Reclaimed Wood Fairy Lights,Lighting,2,268.92,537.84
O04135,2024-01-01,Grace Thatcher,Woven Cotton Wall Art Print,Decor,5,358.05,1790.25
O04135,2024-01-01,Grace Thatcher,Slate Gray Washcloth Set,Bath,5,441.96,2209.8
O04135,2024-01-01,Grace Thatcher,Powder-Coated Toothbrush Holder,Bath,5,407.27,2036.35
O04423,2024-01-01,Harper Bennett,Powder-Coated Toothbrush Holder,Bath,4,407.27,1629.08
O04423,2024-01-01,Harper Bennett,Sage Green Whisk,Kitchen,1,157.6,157.6
O04423,2024-01-01,Harper Bennett,Matte Black Shower Curtain,Bath,1,417.94,417.94
O04985,2024-01-01,Zoey Holloway,Powder-Coated Side Table,Furniture,3,182.2,546.6
O05782,2024-01-01,Elizabeth Everhart,Hand-Glazed Wall Mirror,Decor,4,447.66,1790.64
O03128,2024-01-02,Ella Hensley,Modern Saucepan,Kitchen,3,267.21,801.63
O03128,2024-01-02,Ella Hensley,Powder-Coated Toothbrush Holder,Bath,1,407.27,407.27
O03916,2024-01-02,Abigail Rowan,Rustic Oak Baking Sheet,Kitchen,1,27.73,27.73
O04575,2024-01-02,Benjamin Iversen,Matte Black Skillet,Kitchen,1,380.87,380.87
O04575,2024-01-02,Benjamin Iversen,Matte Black Chandelier,Lighting,4,384.93,1539.72
O05399,2024-01-02,Emily Gallo,Reclaimed Wood Garden Tool Set,Outdoor,2,310.0,620.0
O05399,2024-01-02,Emily Gallo,Walnut Storage Basket,Storage,5,15.81,79.05
O00426,2024-01-03,Lily Diaz,Solid Brass Curtain Liner,Bath,3,383.82,1151.46
O00426,2024-01-03,Lily Diaz,Hand-Glazed Stackable Bin,Storage,4,193.81,775.24
O00426,2024-01-03,Lily Diaz,Woven Cotton Wall Art Print,Decor,3,358.05,1074.15
O00512,2024-01-03,Ella Parrish,Matte Black Entry Bench,Furniture,1,146.16,146.16
O00512,2024-01-03,Ella Parrish,Rustic Oak Baking Sheet,Kitchen,5,27.73,138.65
O00512,2024-01-03,Ella Parrish,Rustic Oak Quilt,Bedding,2,358.81,717.62
O02323,2024-01-03,Elijah Diaz,Navy Fairy Lights,Lighting,2,349.98,699.96
O02323,2024-01-03,Elijah Diaz,Walnut Storage Basket,Storage,3,15.81,47.43
O02323,2024-01-03,Elijah Diaz,Reclaimed Wood Garden Tool Set,Outdoor,2,310.0,620.0
O02356,2024-01-03,Matthew Vance,Matte Black Dining Chair,Furniture,5,155.23,776.15
O02356,2024-01-03,Matthew Vance,Woven Cotton Wall Art Print,Decor,5,358.05,1790.25
O02572,2024-01-03,John Abbott,Slate Gray Fitted Sheet,Bedding,1,416.72,416.72
O02572,2024-01-03,John Abbott,Powder-Coated Side Table,Furniture,5,182.2,911.0
O02657,2024-01-03,Amelia Chandler,Classic Shower Curtain,Bath,1,11.23,11.23
O02756,2024-01-03,Gabriel Parrish,Carrara Marble Pendant Light,Lighting,4,364.88,1459.52
O04721,2024-01-03,Harper Vance,Brushed Copper Coffee Maker,Kitchen,2,215.44,430.88
O04721,2024-01-03,Harper Vance,Matte Black Bookshelf,Furniture,2,116.76,233.52
O04721,2024-01-03,Harper Vance,Charcoal Fleece Blanket,Bedding,4,62.75,251.0
O04721,2024-01-03,Harper Vance,Carrara Marble Ladle,Kitchen,4,345.2,1380.8
O05460,2024-01-03,Michael Whitfield,Terracotta Hanging Planter,Outdoor,3,10.1,30.3
O00277,2024-01-04,Wyatt Rowan,Rustic Oak Garden Tool Set,Outdoor,1,29.47,29.47
O00277,2024-01-04,Wyatt Rowan,Modern Saucepan,Kitchen,2,267.21,534.42
O00277,2024-01-04,Wyatt Rowan,Reclaimed Wood Glass Vase,Decor,1,23.84,23.84
O00277,2024-01-04,Wyatt Rowan,Walnut Chandelier,Lighting,4,29.64,118.56
O00779,2024-01-04,Harper Whitfield,Slate Gray Washcloth Set,Bath,2,441.96,883.92
O00779,2024-01-04,Harper Whitfield,Reclaimed Wood Glass Vase,Decor,5,23.84,119.2
O00779,2024-01-04,Harper Whitfield,Rustic Oak Garden Tool Set,Outdoor,1,29.47,29.47
O01030,2024-01-04,Owen Hensley,Bamboo Pruning Shears,Outdoor,2,349.64,699.28
O01030,2024-01-04,Owen Hensley,Reclaimed Wood Glass Vase,Decor,4,23.84,95.36
O01030,2024-01-04,Owen Hensley,Hand-Glazed Laundry Basket,Storage,5,271.08,1355.4
O03450,2024-01-04,James Zimmerman,Slate Gray Shower Curtain,Bath,4,384.59,1538.36
O03450,2024-01-04,James Zimmerman,Powder-Coated Toothbrush Holder,Bath,1,407.27,407.27
O03450,2024-01-04,James Zimmerman,Carrara Marble Ladle,Kitchen,2,345.2,690.4
O03450,2024-01-04,James Zimmerman,Navy Closet Organizer,Storage,2,68.48,136.96
