order_id,order_date,customer_id,email,city,channel,status,quantity,unit_price
O00588,2024-01-01,C0079,benjamin.norwood079@thistlewoodmail.example,Ithaca,web,completed,9,112.82
O00968,2024-01-01,C0031,zoey.holloway031@thistlewoodmail.example,Duluth,web,completed,7,368.01
O02320,2024-01-01,C0080,david.hensley080@thistlewoodmail.example,Taos,web,completed,4,228.57
O02918,2024-01-01,C0116,levi.hensley116@thistlewoodmail.example,Petaluma,phone,completed,7,220.86
O03129,2024-01-01,C0020,sebastian.yates020@thistlewoodmail.example,Asheville,phone,completed,1,114.8
O03300,2024-01-01,C0136,emma.lindqvist136@thistlewoodmail.example,Missoula,web,completed,7,327.53
O03407,2024-01-01,C0098,elijah.diaz098@thistlewoodmail.example,Charleston,phone,completed,12,260.8
O04135,2024-01-01,C0030,grace.thatcher030@thistlewoodmail.example,Athens,web,completed,15,402.43
O04423,2024-01-01,C0179,harper.bennett179@thistlewoodmail.example,Missoula,phone,completed,6,367.44
O04985,2024-01-01,C0031,zoey.holloway031@thistlewoodmail.example,Duluth,store,completed,3,182.2
O05782,2024-01-01,C0040,elizabeth.everhart040@thistlewoodmail.example,Traverse City,web,completed,4,447.66
O03128,2024-01-02,C0101,ella.hensley101@thistlewoodmail.example,Ithaca,web,completed,4,302.22
O03916,2024-01-02,C0028,abigail.rowan028@thistlewoodmail.example,Charleston,store,completed,1,27.73
O04575,2024-01-02,C0088,benjamin.iversen088@thistlewoodmail.example,Spokane,store,completed,5,384.12
O05399,2024-01-02,C0177,emily.gallo177@thistlewoodmail.example,Charleston,web,completed,7,99.86
O00426,2024-01-03,C0087,lily.diaz087@thistlewoodmail.example,Duluth,phone,completed,10,300.09
O00512,2024-01-03,C0033,ella.parrish033@thistlewoodmail.example,Northampton,web,completed,8,125.3
O02323,2024-01-03,C0098,elijah.diaz098@thistlewoodmail.example,Charleston,web,completed,7,195.34
O02356,2024-01-03,C0050,matthew.vance050@thistlewoodmail.example,Taos,web,completed,10,256.64
O02572,2024-01-03,C0160,john.abbott160@thistlewoodmail.example,Charleston,web,completed,6,221.29
O02657,2024-01-03,C0141,amelia.chandler141@thistlewoodmail.example,Petaluma,web,completed,1,11.23
O02756,2024-01-03,C0012,gabriel.parrish012@thistlewoodmail.example,Madison,web,completed,4,364.88
O04721,2024-01-03,C0102,harper.vance102@thistlewoodmail.example,Yellow Springs,phone,completed,12,191.35
O05460,2024-01-03,C0166,michael.whitfield166@thistlewoodmail.example,Savannah,phone,completed,3,10.1
O00277,2024-01-04,C0078,wyatt.rowan078@thistlewoodmail.example,Portland,web,completed,8,88.29
O00779,2024-01-04,C0082,harper.whitfield082@thistlewoodmail.example,Ithaca,web,completed,8,129.07
O01030,2024-01-04,C0047,owen.hensley047@thistlewoodmail.example,Asheville,web,completed,11,195.46
O03450,2024-01-04,C0041,james.zimmerman041@thistlewoodmail.example,Madison,web,completed,9,308.11
O03679,2024-01-04,C0088,benjamin.iversen088@thistlewoodmail.example,Spokane,store,completed,9,202.02
O03873,2024-01-04,C0041,james.zimmerman041@thistlewoodmail.example,Madison,web,completed,6,126.72
O04716,2024-01-04,C0121,sophia.norwood121@thistlewoodmail.example,Taos,web,completed,6,310.26
O05602,2024-01-04,C0061,aria.lindqvist061@thistlewoodmail.example,Santa Fe,web,pending,6,212.69
O05714,2024-01-04,C0063,abigail.parrish063@thistlewoodmail.example,Asbury Park,web,cancelled,3,67.39
O00141,2024-01-05,C0102,harper.vance102@thistlewoodmail.example,Yellow Springs,web,completed,-13,219.99
O00555,2024-01-05,C0037,noah.ellison037@thistlewoodmail.example,Eugene,web,completed,2,384.59
O00694,2024-01-05,C0083,wyatt.abbott083@thistlewoodmail.example,Providence,web,completed,12,267.37
O01239,2024-01-05,C0049,matthew.thatcher049@thistlewoodmail.example,Bozeman,web,completed,5,189.21
O01356,2024-01-05,C0055,hannah.keller055@thistlewoodmail.example,Ann Arbor,web,completed,12,269.85
O02821,2024-01-05,C0054,zoey.gallo054@thistlewoodmail.example,Spokane,web,completed,5,90.92
O03802,2024-01-05,C0114,sofia.norwood114@thistlewoodmail.example,Athens,web,completed,9,65.3
O05704,2024-01-05,C0068,harper.ostrander068@thistlewoodmail.example,Duluth,web,completed,7,146.48
O05916,2024-01-05,C0073,luke.grant073@thistlewoodmail.example,Eugene,web,completed,13,63.61
O02311,2024-01-06,C0079,benjamin.norwood079@thistlewoodmail.example,Ithaca,store,completed,8,187.07
O02486,2024-01-06,C0020,sebastian.yates020@thistlewoodmail.example,Asheville,phone,completed,9,124.92
O03653,2024-01-06,C0149,olivia.lambert149@thistlewoodmail.example,Madison,store,completed,11,167.71
O04545,2024-01-06,C0017,lucas.dunmore017@thistlewoodmail.example,Traverse City,store,completed,5,135.4
O04787,2024-01-06,C0136,emma.lindqvist136@thistlewoodmail.example,Missoula,web,completed,14,280.52
O00042,2024-01-07,C0087,lily.diaz087@thistlewoodmail.example,Duluth,phone,completed,1,389.34
O00148,2024-01-07,C0039,matthew.ingram039@thistlewoodmail.example,Eugene,store,completed,5,67.39
O01005,07-Jan-2024,C0005,john.bishop005@thistlewoodmail.example,Charleston,web,completed,11,331.62
O01069,2024-01-07,C0067,emma.ingram067@thistlewoodmail.example,Providence,web,completed,9,240.04
O02555,2024-01-07,C0058,david.vance058@thistlewoodmail.example,Petaluma,web,completed,8,135.33
O02795,2024-01-07,C0123,zoey.gallo123@thistlewoodmail.example,Santa Fe,web,completed,10,130.09
O03860,2024-01-07,C0043,benjamin.osei043@thistlewoodmail.example,Traverse City,phone,pending,5,95.84
O00374,2024-01-08,C0010,elizabeth.carter010@thistlewoodmail.example,Lancaster,web,completed,5,358.05
O01846,2024-01-08,C0092,jack.zimmerman092@thistlewoodmail.example,Fort Collins,web,completed,10,282.24
O02230,2024-01-08,C0033,ella.parrish033@thistlewoodmail.example,Northampton,store,completed,7,283.32
O02426,2024-01-08,C0106,chloe.osei106@thistlewoodmail.example,Eugene,web,completed,10,373.7
O02494,2024-01-08,C0103,john.quintero103@thistlewoodmail.example,Missoula,web,completed,6,140.49
O02811,2024-01-08,C0171,emma.diaz171@thistlewoodmail.example,Asbury Park,web,completed,13,268.15
O03471,2024-01-08,C0074,ava.quintero074@thistlewoodmail.example,Yellow Springs,web,completed,3,143.79
O03810,2024-01-08,C0059,benjamin.holloway059@thistlewoodmail.example,Fort Collins,web,completed,1,356.11
O04197,2024-01-08,C0122,chloe.ellison122@thistlewoodmail.example,Duluth,web,completed,6,299.46
O04578,2024-01-08,C0175,carter.holloway175@thistlewoodmail.example,Ann Arbor,web,completed,9,220.74
O05210,2024-01-08,C0070,olivia.dunmore070@thistlewoodmail.example,Yellow Springs,store,completed,3,68.48
O05511,2024-01-08,C0128,julian.norwood128@thistlewoodmail.example,Chattanooga,web,completed,1,447.66
O05903,2024-01-08,C0158,gabriel.thatcher158@thistlewoodmail.example,Boulder,web,completed,6,87.26
O00473,2024-01-09,C0013,owen.grant013@thistlewoodmail.example,,web,completed,6,147.47
O00766,2024-01-09,C0164,michael.yates164@thistlewoodmail.example,Bend,web,completed,12,165.18
O02390,2024-01-09,C0075,sebastian.chandler075@thistlewoodmail.example,,web,completed,4,237.36
O02524,2024-01-09,C0010,elizabeth.carter010@thistlewoodmail.example,Lancaster,phone,completed,4,235.13
O02778,2024-01-09,C0066,wyatt.ingram066@thistlewoodmail.example,Boise,web,completed,9,256.28
O03787,01/09/2024,C0149,olivia.lambert149@thistlewoodmail.example,Madison,store,completed,5,407.27
O05055,2024-01-09,C0046,amelia.bennett046@thistlewoodmail.example,Burlington,store,completed,1,116.76
O05474,2024-01-09,C0164,michael.yates164@thistlewoodmail.example,Bend,store,completed,9,327.6
O01274,2024-01-10,C0072,isaac.iversen072@thistlewoodmail.example,Portland,web,cancelled,6,258.99
O01734,2024-01-10,C0120,zoey.hensley120@thistlewoodmail.example,Fort Collins,web,completed,4,364.88
O01917,2024-01-10,C0093,luke.nolan093@thistlewoodmail.example,Yellow Springs,web,completed,14,206.1
O02573,2024-01-10,C0029,harper.bennett029@thistlewoodmail.example,Boulder,phone,completed,6,67.21
O02624,2024-01-10,C0117,chloe.zimmerman117@thistlewoodmail.example,Asheville,web,cancelled,6,171.01
O03024,2024-01-10,C0007,aria.jasper007@thistlewoodmail.example,Providence,web,completed,15,308.74
O05203,2024-01-10,C0037,noah.ellison037@thistlewoodmail.example,Eugene,web,completed,6,137.75
O05370,2024-01-10,C0162,ella.nolan162@thistlewoodmail.example,Petaluma,web,completed,12,264.02
O05750,2024-01-10,C0032,isabella.quintero032@thistlewoodmail.example,Ann Arbor,web,completed,8,356.8
O05802,2024-01-10,C0150,wyatt.abbott150@thistlewoodmail.example,Fort Collins,web,completed,12,125.64
O00258,2024-01-11,C0079,benjamin.norwood079@thistlewoodmail.example,Ithaca,web,completed,9,181.22
O00989,2024-01-11,C0017,lucas.dunmore017@thistlewoodmail.example,Traverse City,store,completed,9,178.19
O01934,2024-01-11,C0173,chloe.nolan173@thistlewoodmail.example,Asheville,store,completed,14,173.52
O02856,2024-01-11,C0104,noah.grant104@thistlewoodmail.example,Eugene,web,completed,7,357.81
O02950,2024-01-11,C0065,liam.foster065@thistlewoodmail.example,Madison,phone,completed,5,384.93
O03635,2024-01-11,C0157,james.grant157@thistlewoodmail.example,Eugene,phone,completed,7,247.38
O04389,2024-01-11,C0011,zoey.fairweather011@thistlewoodmail.example,Chattanooga,store,completed,4,207.76
O05534,2024-01-11,C0088,benjamin.iversen088@thistlewoodmail.example,Spokane,phone,completed,8,199.82
O00930,2024-01-12,C0087,lily.diaz087@thistlewoodmail.example,Duluth,store,completed,5,345.2
O01159,2024-01-12,C0153,evelyn.pemberton153@thistlewoodmail.example,Bend,web,completed,7,280.19
O02239,2024-01-12,C0162,ella.nolan162@thistlewoodmail.example,Petaluma,store,completed,11,272.95
O02548,2024-01-12,C0152,abigail.holloway152@thistlewoodmail.example,Boise,store,cancelled,4,280.2
O03209,2024-01-12,C0038,carter.jennings038@thistlewoodmail.example,Athens,web,completed,9,176.38
O03954,2024-01-12,C0089,gabriel.marsh089@thistlewoodmail.example,Bend,web,completed,15,120.78
O03970,2024-01-12,C0054,zoey.gallo054@thistlewoodmail.example,Spokane,web,completed,4,296.82
O04738,2024-01-12,C0027,,Fort Collins,web,completed,3,91.24
O05394,2024-01-12,C0032,isabella.quintero032@thistlewoodmail.example,Ann Arbor,phone,completed,11,354.14
O05530,2024-01-12,C0004,luke.thatcher004@thistlewoodmail.example,Fort Collins,web,completed,12,244.76
O00325,2024-01-13,C0160,john.abbott160@thistlewoodmail.example,Charleston,store,completed,3,29.64
O01332,2024-01-13,C0081,amelia.jasper081@thistlewoodmail.example,Ann Arbor,web,completed,5,103.47
O01438,2024-01-13,C0137,emma.foster137@thistlewoodmail.example,Traverse City,web,completed,3,417.94
O01467,2024-01-13,C0091,carter.diaz091@thistlewoodmail.example,Savannah,web,completed,5,245.16
O02276,2024-01-13,C0178,james.everhart178@thistlewoodmail.example,Ithaca,store,completed,7,204.88
O02912,2024-01-13,C0146,emily.jennings146@thistlewoodmail.example,Boulder,web,cancelled,3,62.75
O03695,2024-01-13,C0151,olivia.carter151@thistlewoodmail.example,Santa Fe,store,completed,9,137.88
O04972,2024-01-13,C0142,james.diaz142@thistlewoodmail.example,Bozeman,store,completed,7,71.88
O05996,2024-01-13,C0095,lily.keller095@thistlewoodmail.example,Santa Fe,web,completed,7,35.77
O00427,2024-01-14,C0024,michael.sawyer024@thistlewoodmail.example,Yellow Springs,web,cancelled,3,138.33
O01188,2024-01-14,C0023,ava.yates023@thistlewoodmail.example,Sedona,web,completed,5,116.76
O01560,2024-01-14,C0117,chloe.zimmerman117@thistlewoodmail.example,Asheville,web,completed,4,277.03
O02377,2024-01-14,C0092,jack.zimmerman092@thistlewoodmail.example,Fort Collins,web,pending,9,204.71
O03057,2024-01-14,C0114,sofia.norwood114@thistlewoodmail.example,Athens,web,completed,7,173.62
O01253,2024-01-15,C0120,zoey.hensley120@thistlewoodmail.example,Fort Collins,store,completed,8,109.46
O02053,2024-01-15,C0163,owen.thatcher163@thistlewoodmail.example,Burlington,web,completed,10,224.68
O02088,2024-01-15,C0036,henry.everhart036@thistlewoodmail.example,Sedona,web,completed,12,20.84
O00580,2024-01-16,C0041,james.zimmerman041@thistlewoodmail.example,Madison,web,completed,10,319.69
O01803,2024-01-16,C0130,aria.ostrander130@thistlewoodmail.example,Charleston,web,completed,4,155.03
O02009,2024-01-16,C0160,john.abbott160@thistlewoodmail.example,Charleston,store,completed,14,259.14
O02129,2024-01-16,C0168,matthew.lindqvist168@thistlewoodmail.example,Boulder,web,completed,4,437.56
O02272,2024-01-16,C0147,sofia.fairweather147@thistlewoodmail.example,Lancaster,web,completed,10,171.41
O02338,2024-01-16,C0091,carter.diaz091@thistlewoodmail.example,Savannah,web,completed,9,21.39
O02959,2024-01-16,C0155,charlotte.norwood155@thistlewoodmail.example,Lancaster,store,completed,2,397.37
O02995,2024-01-16,C0133,chloe.jasper133@thistlewoodmail.example,Charleston,web,completed,10,255.1
O03073,2024-01-16,C0056,matthew.parrish056@thistlewoodmail.example,Spokane,web,completed,5,407.27
O04703,2024-01-16,C0102,harper.vance102@thistlewoodmail.example,Yellow Springs,store,completed,2,443.61
O05278,2024-01-16,C0062,owen.nolan062@thistlewoodmail.example,Portland,web,completed,4,146.16
O00375,2024-01-17,C0153,evelyn.pemberton153@thistlewoodmail.example,Bend,web,completed,10,390.88
O01801,2024-01-17,C0007,aria.jasper007@thistlewoodmail.example,Providence,web,completed,5,349.64
O02235,2024-01-17,C0100,harper.iversen100@thistlewoodmail.example,Bend,store,completed,5,185.4
O02563,2024-01-17,C0071,zoey.dunmore071@thistlewoodmail.example,Ithaca,web,completed,12,261.34
O03162,2024-01-17,C0044,isabella.zimmerman044@thistlewoodmail.example,Sedona,web,completed,10,28.68
O03868,2024-01-17,C0076,hannah.marsh076@thistlewoodmail.example,Duluth,store,completed,9,157.51
O04187,2024-01-17,C0127,chloe.quintero127@thistlewoodmail.example,Boulder,web,completed,11,313.27
